"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","JAN","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,000",""
"SURVEY","2021","JAN","","STATE","NEW JERSEY","34","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2021","JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","500",""
"SURVEY","2021","JAN","","STATE","NEW YORK","36","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,200",""
"SURVEY","2021","JAN","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","7,300",""
"SURVEY","2021","JAN","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2021","JAN","","STATE","OHIO","39","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,600",""
"SURVEY","2021","JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","2021","JAN","","STATE","OREGON","41","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,600",""
"SURVEY","2021","JAN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","84,800",""
"SURVEY","2021","JAN","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","22,800",""
"SURVEY","2021","JAN","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","43,200",""
"SURVEY","2021","JAN","","STATE","TENNESSEE","47","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,200",""
"SURVEY","2021","JAN","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","485,000",""
"SURVEY","2021","JAN","","STATE","UTAH","49","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","54,100",""
"SURVEY","2021","JAN","","STATE","VIRGINIA","51","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,700",""
"SURVEY","2021","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","89,400",""
"SURVEY","2021","JAN","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,600",""
"SURVEY","2021","JAN","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","118,600",""
"SURVEY","2021","JAN","","STATE","WYOMING","56","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2021","FEB","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2021","FEB","","STATE","ALASKA","02","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2021","FEB","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","48,800",""
"SURVEY","2021","FEB","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2021","FEB","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","130,000",""
"SURVEY","2021","FEB","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","185,000",""
"SURVEY","2021","FEB","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,900",""
"SURVEY","2021","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,100",""
"SURVEY","2021","FEB","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","40,400",""
"SURVEY","2021","FEB","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","4,100",""
"SURVEY","2021","FEB","","STATE","IOWA","19","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","KANSAS","20","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","483,000",""
"SURVEY","2021","FEB","","STATE","KENTUCKY","21","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,700",""
"SURVEY","2021","FEB","","STATE","LOUISIANA","22","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","400",""
"SURVEY","2021","FEB","","STATE","MARYLAND","24","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,800",""
"SURVEY","2021","FEB","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","MINNESOTA","27","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","400",""
"SURVEY","2021","FEB","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2021","FEB","","STATE","MONTANA","30","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,400",""
"SURVEY","2021","FEB","","STATE","NEBRASKA","31","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","549,800",""
"SURVEY","2021","FEB","","STATE","NEVADA","32","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","FEB","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,800",""
"SURVEY","2021","FEB","","STATE","NEW JERSEY","34","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2021","FEB","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","500",""
"SURVEY","2021","FEB","","STATE","NEW YORK","36","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,200",""
"SURVEY","2021","FEB","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,500",""
"SURVEY","2021","FEB","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2021","FEB","","STATE","OHIO","39","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","6,800",""
"SURVEY","2021","FEB","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2021","FEB","","STATE","OREGON","41","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,600",""
"SURVEY","2021","FEB","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","73,900",""
"SURVEY","2021","FEB","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","20,800",""
"SURVEY","2021","FEB","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","41,700",""
"SURVEY","2021","FEB","","STATE","TENNESSEE","47","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,100",""
"SURVEY","2021","FEB","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","412,100",""
"SURVEY","2021","FEB","","STATE","UTAH","49","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","56,800",""
"SURVEY","2021","FEB","","STATE","VIRGINIA","51","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2021","FEB","","STATE","WASHINGTON","53","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","84,900",""
"SURVEY","2021","FEB","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,200",""
"SURVEY","2021","FEB","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","106,800",""
"SURVEY","2021","FEB","","STATE","WYOMING","56","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,000",""
"SURVEY","2021","MAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2021","MAR","","STATE","ALASKA","02","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2021","MAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","50,900",""
"SURVEY","2021","MAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2021","MAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","147,700",""
"SURVEY","2021","MAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","192,400",""
"SURVEY","2021","MAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","8,700",""
"SURVEY","2021","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","MAR","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","1,200",""
"SURVEY","2021","MAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","44,600",""
"SURVEY","2021","MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","MAR","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","2021","MAR","","STATE","IOWA","19","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","MAR","","STATE","KANSAS","20","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","622,700",""
"SURVEY","2021","MAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","4,400",""
"SURVEY","2021","MAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","600",""
"SURVEY","2021","MAR","","STATE","MARYLAND","24","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","3,400",""
"SURVEY","2021","MAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2021","MAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","700",""
"SURVEY","2021","MAR","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","9,100",""
"SURVEY","2021","MAR","","STATE","MONTANA","30","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","2,100",""
"SURVEY","2021","MAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CATTLE","CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","607,400",""
